id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
213	janecka m. (2015)	"<table><tr><td>Authors:</td><td>janecka m.; manduca a.; servadio m.; trezza v.; smith r.; mill j.; schalkwyk l.c.; reichenberg a.; fernandes c.</td></tr><tr><td>Title:</td><td>effects of advanced paternal age on trajectories of social behavior in offspring</td></tr><tr><td>Source:</td><td>genes, brain and behavior, 14(6), 443-453</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/gbb.12227	0.4117	-0.1364	1	28	15	6	0.2149	2015	6	0.2149
214	gao h.-h. (2015)	"<table><tr><td>Authors:</td><td>gao h.-h.; li j.-t.; zhao n.; zhang l.; fu y.; zhang y.-j.; chen r.-x.; zhang j.-m.</td></tr><tr><td>Title:</td><td>biobehavioral effects produced by paternal sleep disturbances</td></tr><tr><td>Source:</td><td>sleep and biological rhythms, 13(3), 235-241</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/sbr.12109	-0.3179	-0.122	1	168	13	0	0	2015	0	0
215	wang s. (2015)	"<table><tr><td>Authors:</td><td>wang s.; tan x.l.; michaud j.p.; shi z.k.; zhang f.</td></tr><tr><td>Title:</td><td>sexual selection drives the evolution of limb regeneration in harmonia axyridis (coleoptera: coccinellidae)</td></tr><tr><td>Source:</td><td>bulletin of entomological research, 105(2), 245-252</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1017/s0007485315000036	-1.2571	-0.2374	3	7	5	12	0.4298	2015	12	0.4298
216	soubry a. (2015)	"<table><tr><td>Authors:</td><td>soubry a.; murphy s.k.; wang f.; huang z.; vidal a.c.; fuemmeler b.f.; kurtzberg j.; murtha a.; jirtle r.l.; schildkraut j.m.; hoyo c.</td></tr><tr><td>Title:</td><td>newborns of obese parents have altered dna methylation patterns at imprinted genes</td></tr><tr><td>Source:</td><td>international journal of obesity, 39(4), 650-657</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1038/ijo.2013.193	-0.0856	-0.156	1	148	32	119	4.2623	2015	119	4.2623
217	leão v.f. (2015)	"<table><tr><td>Authors:</td><td>leão v.f.; raimundo j.m.; ferreira l.l.d.m.; santos-silva j.c.; vettorazzi j.f.; bonfleur m.l.; carneiro e.m.; ribeiro r.a.</td></tr><tr><td>Title:</td><td>effects of paternal hypothalamic obesity and taurine supplementation on adiposity and vascular reactivity in rat offspring</td></tr><tr><td>Source:</td><td>advances in experimental medicine and biology, 803, 749-763</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1007/978-3-319-15126-7_60	-0.2355	-0.8042	1	112	7	1	0.0358	2015	1	0.0358
218	sands k. (2015)	"<table><tr><td>Authors:</td><td>sands k.; jansen r.; zaslau s.; greenwald d.</td></tr><tr><td>Title:</td><td>review article: the safety of therapeutic drugs in male inflammatory bowel disease patients wishing to conceive</td></tr><tr><td>Source:</td><td>alimentary pharmacology and therapeutics, 41(9), 821-834</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/apt.13142	1.1005	-0.4698	2	6	26	31	1.1104	2015	31	1.1104
219	marshall d.j. (2015)	"<table><tr><td>Authors:</td><td>marshall d.j.</td></tr><tr><td>Title:</td><td>environmentally induced (co)variance in sperm and offspring phenotypes as a source of epigenetic effects</td></tr><tr><td>Source:</td><td>journal of experimental biology, 218(1), 107-113</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1242/jeb.106427	-0.6446	0.333	3	86	38	15	0.5373	2015	15	0.5373
220	chen b. (2015)	"<table><tr><td>Authors:</td><td>chen b.; li s.; ren q.; tong x.; zhang x.; kang l.</td></tr><tr><td>Title:</td><td>paternal epigenetic effects of population density on locust phase-related characteristics associated with heat-shock protein expression</td></tr><tr><td>Source:</td><td>molecular ecology, 24(4), 851-862</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/mec.13072	-0.2537	0.206	1	75	16	13	0.4656	2015	13	0.4656
221	robledo c.a. (2015)	"<table><tr><td>Authors:</td><td>robledo c.a.; yeung e.; mendola p.; sundaram r.; maisog j.; sweeney a.m.; barr d.b.; buck louis g.m.</td></tr><tr><td>Title:</td><td>preconception maternal and paternal exposure to persistent organic pollutants and birth size: the life study</td></tr><tr><td>Source:</td><td>environmental health perspectives, 123(1), 88-94</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1289/ehp.1308016.	0.2917	-0.0374	2	104	9	40	1.4327	2015	40	1.4327
222	wallenius m. (2015)	"<table><tr><td>Authors:</td><td>wallenius m.; lie e.; daltveit a.k.; salvesen k.a.; skomsvoll j.f.; kalstad s.; lexberg a.s.; mikkelsen k.; kvien t.k.; østensen m.</td></tr><tr><td>Title:</td><td>brief report: no excess risks in offspring with paternal preconception exposure to disease-modifying antirheumatic drugs</td></tr><tr><td>Source:</td><td>arthritis and rheumatology, 67(1), 296-301</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1002/art.38919	1.5119	-0.0282	2	4	6	20	0.7164	2015	20	0.7164
224	kaufmann j. (2014)	"<table><tr><td>Authors:</td><td>kaufmann j.; lenz t.l.; milinski m.; eizaguirre c.</td></tr><tr><td>Title:</td><td>experimental parasite infection reveals costs and benefits of paternal effects</td></tr><tr><td>Source:</td><td>ecology letters, 17(11), 1409-1417</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/ele.12344	-0.7179	0.2119	3	109	24	15	0.4002	2014	15	0.4002
225	eggert h. (2014)	"<table><tr><td>Authors:</td><td>eggert h.; kurtz j.; diddens-de buhr m.f.</td></tr><tr><td>Title:</td><td>different effects of paternal transgenerational immune priming on survival and immunity in step and genetic offspring</td></tr><tr><td>Source:</td><td>proceedings of the royal society b: biological sciences, 281(1797)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1098/rspb.2014.2089	-0.612	0.0239	3	79	38	35	0.9337	2014	35	0.9337
226	nystrand m. (2014)	"<table><tr><td>Authors:</td><td>nystrand m.; dowling d.k.</td></tr><tr><td>Title:</td><td>transgenerational interactions involving parental age and immune status affect female reproductive success in drosophila melanogaster</td></tr><tr><td>Source:</td><td>proceedings of the royal society b: biological sciences, 281(1794)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1098/rspb.2014.1242	-0.4186	0.4979	3	97	32	12	0.3201	2014	12	0.3201
227	finegersh a. (2014)	"<table><tr><td>Authors:</td><td>finegersh a.; homanics g.e.</td></tr><tr><td>Title:</td><td>paternal alcohol exposure reduces alcohol drinking and increases behavioral sensitivity to alcohol selectively in male offspring</td></tr><tr><td>Source:</td><td>plos one, 9(6)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1371/journal.pone.0099078	0.2013	-0.0183	1	199	35	40	1.0671	2014	40	1.0671
228	liang f. (2014)	"<table><tr><td>Authors:</td><td>liang f.; diao l.; liu j.; jiang n.; zhang j.; wang h.; zhou w.; huang g.; ma d.</td></tr><tr><td>Title:</td><td>paternal ethanol exposure and behavioral abnormities in offspring: associated alterations in imprinted gene methylation</td></tr><tr><td>Source:</td><td>neuropharmacology, 81, 126-133</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.neuropharm.2014.01.025	0.0795	0.2399	1	125	30	34	0.907	2014	34	0.907
229	pecori c. (2014)	"<table><tr><td>Authors:</td><td>pecori c.; giannini m.; portaccio e.; ghezzi a.; hakiki b.; pastò l.; razzolini l.; sturchio a.; de giglio l.; pozzilli c.; paolicelli d.; trojano m.; marrosu m.g.; patti f.; mancardi g.l.; solaro c.; totaro r.; tola m.r.; de luca g.; lugaresi a.; moiola l.; martinelli v.; comi g.; amato m.p.</td></tr><tr><td>Title:</td><td>paternal therapy with disease modifying drugs in multiple sclerosis and pregnancy outcomes: a prospective observational multicentric study</td></tr><tr><td>Source:</td><td>bmc neurology, 14(1)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1186/1471-2377-14-114	1.0162	0.2888	2	12	4	14	0.3735	2014	14	0.3735
230	watkins a.j. (2014)	"<table><tr><td>Authors:</td><td>watkins a.j.; sinclair k.d.</td></tr><tr><td>Title:</td><td>paternal low protein diet affects adult offspring cardiovascular and metabolic function in mice</td></tr><tr><td>Source:</td><td>american journal of physiology - heart and circulatory physiology, 306(10), h1444-h1452</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1152/ajpheart.00981.2013	-0.002	-0.4575	1	152	23	43	1.1471	2014	43	1.1471
231	zajitschek s. (2014)	"<table><tr><td>Authors:</td><td>zajitschek s.; hotzy c.; zajitschek f.; immler s.</td></tr><tr><td>Title:</td><td>short-term variation in sperm competition causes sperm-mediated epigenetic effects on early offspring performance in the zebrafish</td></tr><tr><td>Source:</td><td>proceedings of the royal society b: biological sciences, 281(1785)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1098/rspb.2014.0422	-0.6678	-0.0205	3	151	32	18	0.4802	2014	18	0.4802
232	ding s. (2014)	"<table><tr><td>Authors:</td><td>ding s.; fan y.; zhao n.; yang h.; ye x.; he d.; jin x.; liu j.; tian c.; li h.; xu s.; ying c.</td></tr><tr><td>Title:</td><td>high-fat diet aggravates glucose homeostasis disorder caused by chronic exposure to bisphenol a</td></tr><tr><td>Source:</td><td>journal of endocrinology, 221(1), 167-179</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1530/joe-13-0386	-0.1063	-0.7802	1	102	10	30	0.8003	2014	30	0.8003
233	soubry a. (2014)	"<table><tr><td>Authors:</td><td>soubry a.; hoyo c.; jirtle r.l.; murphy s.k.</td></tr><tr><td>Title:</td><td>a paternal environmental legacy: evidence for epigenetic inheritance through the male germ line</td></tr><tr><td>Source:</td><td>bioessays, 36(4), 359-371</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/bies.201300113	0.215	-0.1541	1	206	92	139	3.7081	2014	139	3.7081
234	smith r.g. (2014)	"<table><tr><td>Authors:</td><td>smith r.g.; fernandes c.; kember r.; schalkwyk l.c.; buxbaum j.; reichenberg a.; mill j.</td></tr><tr><td>Title:</td><td>transcriptomic changes in the frontal cortex associated with paternal age</td></tr><tr><td>Source:</td><td>molecular autism, 5(1)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1186/2040-2392-5-24	0.0683	-0.471	1	16	9	6	0.1601	2014	6	0.1601
235	bromfield j.j. (2014)	"<table><tr><td>Authors:</td><td>bromfield j.j.; schjenken j.e.; chin p.y.; care a.s.; jasper m.j.; robertson s.a.</td></tr><tr><td>Title:</td><td>maternal tract factors contribute to paternal seminal fluid impact on metabolic phenotype in offspring</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 111(6), 2200-2205</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1073/pnas.1305609111	-0.3963	-0.4088	1	129	20	159	4.2416	2014	159	4.2416
236	kamarzaman s. (2014)	"<table><tr><td>Authors:</td><td>kamarzaman s.; abdul wahab a.y.; abdul rahman s.</td></tr><tr><td>Title:</td><td>effects of thymoquinone supplementation on cyclophosphamide toxicity of mouse embryo in vitro</td></tr><tr><td>Source:</td><td>global veterinaria, 12(1), 80-90</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.5829/idosi.gv.2014.12.01.76185	1.0999	0.3264	2	3	10	5	0.1334	2014	5	0.1334
237	slyvka y. (2014)	"<table><tr><td>Authors:</td><td>slyvka y.; zhang y.; nowak f.v.</td></tr><tr><td>Title:</td><td>epigenetic effects of paternal diet on offspring: emphasis on obesity</td></tr><tr><td>Source:</td><td>endocrine, 48(1), 36-46</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s12020-014-0328-5	0.056	-0.3757	1	183	69	11	0.2934	2014	11	0.2934
238	crean a.j. (2014)	"<table><tr><td>Authors:</td><td>crean a.j.; kopps a.m.; bonduriansky r.</td></tr><tr><td>Title:</td><td>revisiting telegony: offspring inherit an acquired characteristic of their mother's previous mate</td></tr><tr><td>Source:</td><td>ecology letters, 17(12), 1545-1552</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/ele.12373	-0.8214	-0.0477	3	64	27	33	0.8803	2014	33	0.8803
239	li c.-q. (2014)	"<table><tr><td>Authors:</td><td>li c.-q.; luo y.-w.; bi f.-f.; cui t.-t.; song l.; cao w.-y.; zhang j.-y.; li f.; xu j.-m.; hao w.; xing x.-w.; zhou f.h.; zhou x.-f.; dai r.-p.</td></tr><tr><td>Title:</td><td>development of anxiety-like behavior via hippocampal igf-2 signaling in the offspring of parental morphine exposure: effect of enriched environment</td></tr><tr><td>Source:</td><td>neuropsychopharmacology, 39(12), 2777-2787</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1038/npp.2014.128	-0.1076	0.665	1	14	13	22	0.5869	2014	22	0.5869
240	braun k. (2014)	"<table><tr><td>Authors:</td><td>braun k.; champagne f.a.</td></tr><tr><td>Title:</td><td>paternal influences on offspring development: behavioural and epigenetic pathways</td></tr><tr><td>Source:</td><td>journal of neuroendocrinology, 26(10), 697-706</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/jne.12174	-0.102	0.0282	1	225	57	55	1.4672	2014	55	1.4672
241	shama l.n.s. (2014)	"<table><tr><td>Authors:</td><td>shama l.n.s.; wegner k.m.</td></tr><tr><td>Title:</td><td>grandparental effects in marine sticklebacks: transgenerational plasticity across multiple generations</td></tr><tr><td>Source:</td><td>journal of evolutionary biology, 27(11), 2297-2307</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/jeb.12490	-0.7778	0.4869	3	62	31	51	1.3605	2014	51	1.3605
242	bale t.l. (2014)	"<table><tr><td>Authors:</td><td>bale t.l.</td></tr><tr><td>Title:</td><td>lifetime stress experience: transgenerational epigenetics and germ cell programming</td></tr><tr><td>Source:</td><td>dialogues in clinical neuroscience, 16(3), 297-305</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"		-0.385	-0.3482	1	187	32	59	1.5739	2014	59	1.5739
243	crean a.j. (2014a)	"<table><tr><td>Authors:</td><td>crean a.j.; bonduriansky r.</td></tr><tr><td>Title:</td><td>what is a paternal effect?</td></tr><tr><td>Source:</td><td>trends in ecology and evolution, 29(10), 554-559</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.tree.2014.07.009	-0.6274	0.1307	3	239	68	59	1.5739	2014	59	1.5739
244	tunc-ozcan e. (2014)	"<table><tr><td>Authors:</td><td>tunc-ozcan e.; sittig l.j.; harper k.m.; graf e.n.; redei e.e.</td></tr><tr><td>Title:</td><td>hypothesis: genetic and epigenetic risk factors interact to modulate vulnerability and resilience to fasd</td></tr><tr><td>Source:</td><td>frontiers in genetics, 5(aug)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.3389/fgene.2014.00261	0.1248	-0.4958	1	66	25	3	0.08	2014	3	0.08
245	goddard m.e. (2014)	"<table><tr><td>Authors:</td><td>goddard m.e.; whitelaw e.</td></tr><tr><td>Title:</td><td>the use of epigenetic phenomena for the improvement of sheep and cattle</td></tr><tr><td>Source:</td><td>frontiers in genetics, 5(jul)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.3389/fgene.2014.00247	-0.5102	-0.1969	1	100	16	21	0.5602	2014	21	0.5602
246	yehuda r. (2014)	"<table><tr><td>Authors:</td><td>yehuda r.; daskalakis n.p.; lehrner a.; desarnaud f.; bader h.n.; makotkine i.; flory j.d.; bierer l.m.; meaney m.j.</td></tr><tr><td>Title:</td><td>influences of maternal and paternal ptsd on epigenetic regulation of the glucocorticoid receptor gene in holocaust survivor offspring</td></tr><tr><td>Source:</td><td>american journal of psychiatry, 171(8), 872-880</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1176/appi.ajp.2014.13121571	-0.2058	-0.6519	1	40	4	154	4.1082	2014	154	4.1082
247	mirhosseini m.a. (2014)	"<table><tr><td>Authors:</td><td>mirhosseini m.a.; michaud j.p.; jalali m.a.; ziaaddini m.</td></tr><tr><td>Title:</td><td>paternal effects correlate with female reproductive stimulation in the polyandrous ladybird cheilomenes sexmaculata</td></tr><tr><td>Source:</td><td>bulletin of entomological research, 104(4), 480-485</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1017/s0007485314000194	-1.0973	0.2401	3	54	24	12	0.3201	2014	12	0.3201
248	schade f.m. (2014)	"<table><tr><td>Authors:</td><td>schade f.m.; clemmesen c.; mathias wegner k.</td></tr><tr><td>Title:</td><td>within- and transgenerational effects of ocean acidification on life history of marine three-spined stickleback (gasterosteus aculeatus)</td></tr><tr><td>Source:</td><td>marine biology, 161(7), 1667-1676</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s00227-014-2450-6	-1.2271	0.7374	3	35	11	34	0.907	2014	34	0.907
249	murphy k.e. (2014)	"<table><tr><td>Authors:</td><td>murphy k.e.; murphy p.j.; carrell d.t.</td></tr><tr><td>Title:</td><td>epigenetic changes in the paternal germline</td></tr><tr><td>Source:</td><td>transgenerational epigenetics, 43-55</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/b978-0-12-405944-3.00005-2	-0.028	-0.4259	1	176	95	0	0	2014	0	0
250	mashoodh r. (2014)	"<table><tr><td>Authors:</td><td>mashoodh r.; champagne f.a.</td></tr><tr><td>Title:</td><td>paternal epigenetic inheritance</td></tr><tr><td>Source:</td><td>transgenerational epigenetics, 221-235</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/b978-0-12-405944-3.00017-9	0.0345	0.0079	1	256	112	2	0.0534	2014	2	0.0534
251	mcnamara k.b. (2014)	"<table><tr><td>Authors:</td><td>mcnamara k.b.; van lieshout e.; simmons l.w.</td></tr><tr><td>Title:</td><td>the effect of maternal and paternal immune challenge on offspring immunity and reproduction in a cricket</td></tr><tr><td>Source:</td><td>journal of evolutionary biology, 27(6), 1020-1028</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/jeb.12376	-0.5083	0.1974	3	177	31	11	0.2934	2014	11	0.2934
252	jensen n. (2014)	"<table><tr><td>Authors:</td><td>jensen n.; allen r.m.; marshall d.j.</td></tr><tr><td>Title:</td><td>adaptive maternal and paternal effects: gamete plasticity in response to parental stress</td></tr><tr><td>Source:</td><td>functional ecology, 28(3), 724-733</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/1365-2435.12195	-1.0633	0.567	3	55	28	29	0.7736	2014	29	0.7736
253	petropoulos s. (2014)	"<table><tr><td>Authors:</td><td>petropoulos s.; matthews s.g.; szyf m.</td></tr><tr><td>Title:</td><td>adult glucocorticoid exposure leads to transcriptional and dna methylation changes in nuclear steroid receptors in the hippocampus and kidney of mouse male offspring</td></tr><tr><td>Source:</td><td>biology of reproduction, 90(2)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1095/biolreprod.113.115899	0.155	-0.1762	1	140	30	34	0.907	2014	34	0.907
254	kim p. (2014)	"<table><tr><td>Authors:</td><td>kim p.; choi c.s.; park j.h.; joo s.h.; kim s.y.; ko h.m.; kim k.c.; jeon s.j.; park s.h.; han s.-h.; ryu j.h.; cheong j.h.; han j.y.; ko k.n.; shin c.y.</td></tr><tr><td>Title:</td><td>chronic exposure to ethanol of male mice before mating produces attention deficit hyperactivity disorder-like phenotype along with epigenetic dysregulation of dopamine transporter expression in mouse offspring</td></tr><tr><td>Source:</td><td>journal of neuroscience research, 92(5), 658-670</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/jnr.23275	0.2352	0.1637	1	92	29	39	1.0404	2014	39	1.0404
255	mcpherson n.o. (2014)	"<table><tr><td>Authors:</td><td>mcpherson n.o.; fullston t.; bakos h.w.; setchell b.p.; lane m.</td></tr><tr><td>Title:</td><td>obese father's metabolic state, adiposity, and reproductive capacity indicate son's reproductive health</td></tr><tr><td>Source:</td><td>fertility and sterility, 101(3), 865-873.e1</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.fertnstert.2013.12.007	0.2175	-0.492	1	100	30	31	0.827	2014	31	0.827
256	vanhees k. (2014)	"<table><tr><td>Authors:</td><td>vanhees k.; vonhögen i.g.c.; van schooten f.j.; godschalk r.w.l.</td></tr><tr><td>Title:</td><td>you are what you eat, and so are your children: the impact of micronutrients on the epigenetic programming of offspring</td></tr><tr><td>Source:</td><td>cellular and molecular life sciences, 71(2), 271-285</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s00018-013-1427-9	0.0857	-0.321	1	161	30	50	1.3338	2014	50	1.3338
257	pierce r.c. (2014)	"<table><tr><td>Authors:</td><td>pierce r.c.; vassoler f.m.</td></tr><tr><td>Title:</td><td>reduced cocaine reinforcement in the male offspring of cocaine-experienced sires</td></tr><tr><td>Source:</td><td>neuropsychopharmacology, 39(1), 238</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1038/npp.2013.234	0.0293	0.2698	1	38	3	0	0	2014	0	0
258	lee h.j. (2013)	"<table><tr><td>Authors:</td><td>lee h.j.; ryu j.-s.; choi n.y.; park y.s.; kim y.i.; han d.w.; ko k.; shin c.y.; hwang h.s.; kang k.-s.; ko k.</td></tr><tr><td>Title:</td><td>transgenerational effects of paternal alcohol exposure in mouse offspring</td></tr><tr><td>Source:</td><td>animal cells and systems, 17(6), 429-434</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1080/19768354.2013.865675	0.5424	0.7073	1	36	10	8	0.1637	2013	8	0.1637
259	xia d. (2013)	"<table><tr><td>Authors:</td><td>xia d.; parvizi n.; zhou y.; xu k.; jiang h.; li r.; hang y.; lu y.</td></tr><tr><td>Title:</td><td>paternal fenvalerate exposure influences reproductive functions in the offspring</td></tr><tr><td>Source:</td><td>reproductive sciences, 20(11), 1308-1315</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1177/1933719113483015	0.3304	0.0063	2	81	12	7	0.1433	2013	7	0.1433
260	li y. (2013)	"<table><tr><td>Authors:</td><td>li y.; liu l.; wang b.; xiong j.; li q.; wang j.; chen d.</td></tr><tr><td>Title:</td><td>impairment of reproductive function in a male rat model of non-alcoholic fatty liver disease and beneficial effect of n-3 fatty acid supplementation</td></tr><tr><td>Source:</td><td>toxicology letters, 222(2), 224-232</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.toxlet.2013.05.644	-0.3367	-0.7871	1	17	3	22	0.4503	2013	22	0.4503
261	hoyer c. (2013)	"<table><tr><td>Authors:</td><td>hoyer c.; richter h.; brandwein c.; riva m.a.; gass p.</td></tr><tr><td>Title:</td><td>preconceptional paternal exposure to a single traumatic event affects postnatal growth of female but not male offspring</td></tr><tr><td>Source:</td><td>neuroreport, 24(15), 856-860</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1097/wnr.0000000000000007	0.057	0.1094	1	165	17	8	0.1637	2013	8	0.1637
262	fullston t. (2013)	"<table><tr><td>Authors:</td><td>fullston t.; teague e.m.c.o.; palmer n.o.; deblasio m.j.; mitchell m.; corbett m.; print c.g.; owens j.a.; lane m.</td></tr><tr><td>Title:</td><td>paternal obesity initiates metabolic disturbances in two generations of mice with incomplete penetrance to the f2 generation and alters the transcriptional profile of testis and sperm microrna content</td></tr><tr><td>Source:</td><td>faseb journal, 27(10), 4226-4243</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1096/fj.12-224048	-0.2984	-0.4704	1	157	53.8	244	4.9942	2013	244	4.9942
263	warner d.a. (2013)	"<table><tr><td>Authors:</td><td>warner d.a.; uller t.; shine r.</td></tr><tr><td>Title:</td><td>transgenerational sex determination: the embryonic environment experienced by a male affects offspring sex ratio</td></tr><tr><td>Source:</td><td>scientific reports, 3</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1038/srep02709	-0.3996	0.3119	3	40	8	19	0.3889	2013	19	0.3889
264	michaud j.p. (2013)	"<table><tr><td>Authors:</td><td>michaud j.p.; bista m.; mishra g.; singh o.</td></tr><tr><td>Title:</td><td>sexual activity diminishes male virility in two coccinella species: consequences for female fertility and progeny development</td></tr><tr><td>Source:</td><td>bulletin of entomological research, 103(5), 570-577</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1017/s0007485313000199	-0.9592	0.3169	3	46	19	21	0.4298	2013	21	0.4298
265	fan y. (2013)	"<table><tr><td>Authors:</td><td>fan y.; ding s.; ye x.; manyande a.; he d.; zhao n.; yang h.; jin x.; liu j.; tian c.; xu s.; ying c.</td></tr><tr><td>Title:</td><td>does preconception paternal exposure to a physiologically relevant level of bisphenol a alter spatial memory in an adult rat?</td></tr><tr><td>Source:</td><td>hormones and behavior, 64(4), 598-604</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.yhbeh.2013.08.014	-0.0173	-0.6097	1	36	11	21	0.4298	2013	21	0.4298
266	mansuy i.m. (2013)	"<table><tr><td>Authors:</td><td>mansuy i.m.; mashoodh r.; champagne f.a.</td></tr><tr><td>Title:</td><td>transgenerational inheritance in mammals</td></tr><tr><td>Source:</td><td>epigenetic regulation in the nervous system, 323-338</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/b978-0-12-391494-1.00013-6	-0.0773	0.096	1	255	105	1	0.0205	2013	1	0.0205
267	kedia-mokashi n.a. (2013)	"<table><tr><td>Authors:</td><td>kedia-mokashi n.a.; kadam l.; ankolkar m.; dumasia k.; balasinor n.h.</td></tr><tr><td>Title:</td><td>aberrant methylation of multiple imprinted genes in embryos of tamoxifen-treated male rats</td></tr><tr><td>Source:</td><td>reproduction, 146(2), 155-168</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1530/rep-12-0439	0.0932	0.5085	1	81	27	6	0.1228	2013	6	0.1228
268	varga s. (2013)	"<table><tr><td>Authors:</td><td>varga s.; vega-frutis r.; kytöviita m.-m.</td></tr><tr><td>Title:</td><td>transgenerational effects of plant sex and arbuscular mycorrhizal symbiosis</td></tr><tr><td>Source:</td><td>new phytologist, 199(3), 812-821</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1111/nph.12305	-1.2686	0.4937	3	26	17	15	0.307	2013	15	0.307
269	zhang g.-l. (2013)	"<table><tr><td>Authors:</td><td>zhang g.-l.; zhang x.-f.; feng y.-m.; li l.; huynh e.; sun x.-f.; sun z.-y.; shen w.</td></tr><tr><td>Title:</td><td>exposure to bisphenol a results in a decline in mouse spermatogenesis</td></tr><tr><td>Source:</td><td>reproduction, fertility and development, 25(6), 847-859</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1071/rd12159	0.3918	-0.1835	1	33	23	15	0.307	2013	15	0.307
