"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"169","development and viability of offspring of male mice treated with chlorinated phenoxy acids and 2,3,7,8‐tetrachlorodibenzo‐p‐dioxin","10.1080.15287398109530119",1981,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","2, 4-dichloro-phenoxyacetic acid (2, 4-D), 2, 4, 5-trichlorophenoxyacetic acid (2, 4, 5-T) and 2, 3, 7, 8-tetrachlorodibenzo-p-dioxin (TCDD) for 8 weeks","does not assess","no",NA,"adults","morphology","morphology, survival",NA,"morphology, survival",NA,"embryonic malformations, perinatal survival and until weaning and body weight,","no",NA,"no","no","no",NA,"10.1080.15287398109530119",458,"lamb j.c. (1981)","development and viability of offspring of male mice treated with chlorinated phenoxy acids and 2, 3, 7, 8-tetrachlorodibenzo-p-dioxin","10.1080.15287398109530119",1.6143,0.6268,2,6,4,27,1.35,1981,27,1.35
"170","developmental toxicity in mice following paternal exposure to dinbutylphthalate (dbp)","10.3967.0895‐3988.2011.05.017",2001,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","Di‐N‐butyl‐phthalate (DBP) exposure in 2 different doese for 8 weeks","does not assess","no",NA,"adults","morphology, survival",NA,NA,"morphology, survival","morphology, survival, fecundity","fetal malformations, embryonic survival, weight, developmental markers of pups, body weight, sexual maturity, sperm characteristics of male offpsring, male offspring fecundity","fitness (survival or fecundity)","embryos","no","no","no",NA,"10.3967.0895‐3988.2011.05.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","does paternal exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd) affect the sex ratio of offspring?","10.1292.jvms.69.347",2007,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) in 2 different doses for 5 weeks, follwed by week of rest","correlative assessment","no",NA,"just born / hatched",NA,"other",NA,NA,NA,"sex ratio","no",NA,"no","no","no",NA,"10.1292.jvms.69.347",356,"ishihara k. (2007)","does paternal exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd) affect the sex ratio of offspring?","10.1292.jvms.69.347",1.1377,0.0366,2,18,11,25,1.0081,2007,25,1.0081
"172","does preconception paternal exposure to a physiologically relevant level of bisphenol a alter spatial memory in an adult rat?","10.1016.j.yhbeh.2013.08.014",2013,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","Bisphenol A (BPA) diet for 10 weeks prior to mating","does not assess","no",NA,"adults",NA,"morphology",NA,NA,"physiology, behavior","birth weight and sex ratio, Morris water maze, hippocampal AchE activity","no",NA,"yes","no","no",NA,"10.1016.j.yhbeh.2013.08.014",265,"fan y. (2013)","does preconception paternal exposure to a physiologically relevant level of bisphenol a alter spatial memory in an adult rat?","10.1016.j.yhbeh.2013.08.014",-0.0173,-0.6097,1,36,11,21,0.4298,2013,21,0.4298
"173","effects of paternal subacute exposure to tordon 202c on fetal growth and development in cd‐1 mice","10.1002.tera.1420390305",1989,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","Tordon 202c (a picloram and 2,4-D combination herbicide) in 3 different concentrations for 60 days prior to mating (in drinking water)","does not assess","no",NA,"embryos","morphology, other",NA,NA,NA,NA,"embryonic sex ratio, body weight, malformations","no",NA,"no","no","no",NA,"10.1002.tera.1420390305",440,"blakley p.m. (1989)","effects of paternal subacute exposure to tordon 202c on fetal growth and development in cd‐1 mice","10.1002.tera.1420390305",1.029,0.4855,2,19,7,16,1.1268,1989,16,1.1268
"174","epigenetic and gene expression changes related to transgenerational carcinogenesis","10.1002.mc.20022",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Chemical substance","Cr(III) chloride injections at 6-8 weeks old, followed by 2 week rest","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology","body weight, hormone levels, liver gene expression","no",NA,"yes","no","no",NA,"10.1002.mc.20022",373,"cheng r.y.-s. (2004)","epigenetic and gene expression changes related to transgenerational carcinogenesis","10.1002.mc.20022",0.647,0.4859,2,12,5,59,1.9594,2004,59,1.9594
"175","evaluation of offspring sex ratio, sex hormones and antioxidant enzymes following exposure to methyl tertiary butyl ether in adult male sprague-dawley rats","10.17179.excli2014.580",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","methyl tertiary butyl ether (MTBE) at different doese for 30 days","does not assess","no",NA,"just born / hatched",NA,"other",NA,NA,NA,"sex ratio","no",NA,"no","no","no",NA,"10.17179.excli2014.580",206,"khalili l. (2015)","evaluation of offspring sex ratio, sex hormones and antioxidant enzymes following exposure to methyl tertiary butyl ether in adult male sprague-dawley rats","10.17179.excli2014.580",1.2718,-0.1219,2,11,3,6,0.2149,2015,6,0.2149
"176","exposure to bisphenol a results in a decline in mouse spermatogenesis","10.1071.rd12159",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as juvenile, as adult","Chemical substance","bisphelnol A (BOA) exposure for 7 weeks starting at day 3 of life","correlative assessment","no",NA,"juveniles",NA,NA,NA,"morphology",NA,"body weight, malformations","no",NA,"no","no","no",NA,"10.1071.rd12159",269,"zhang g.-l. (2013)","exposure to bisphenol a results in a decline in mouse spermatogenesis","10.1071.rd12159",0.3918,-0.1835,1,33,23,15,0.307,2013,15,0.307
"177","male exposure to bisphenol a impairs spermatogenesis and triggers histone hyperacetylation in zebrafish testes","10.1016.j.envpol.2019.01.127",2019,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","control plus two concentratios of Bisphenol A (BPA)","correlative assessment","yes – maternal effects","natural external fertilization","embryos","survival",NA,NA,NA,NA,"embryonic survival","no",NA,"no","no","no",NA,"10.1016.j.envpol.2019.01.127",2,"gonzález-rojo s. (2019)","male exposure to bisphenol a impairs spermatogenesis and triggers histone hyperacetylation in zebrafish testes","10.1016.j.envpol.2019.01.127",-0.3283,-0.3879,1,67,20,1,0.6452,2019,1,0.6452
"178","methyl-parathion decreases sperm function and fertilization capacity after targeting spermatocytes and maturing spermatozoa","10.1016.j.taap.2009.05.008",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","single-dose of organophosphorous pesticides (OP): methyl-parathion","correlative assessment","yes – maternal effects","in-vitro fertilization","embryos","morphology",NA,NA,NA,NA,"rate of emebryonic cel devision","no",NA,"no","no","no",NA,"10.1016.j.taap.2009.05.008",340,"piña-guzmán b. (2009)","methyl-parathion decreases sperm function and fertilization capacity after targeting spermatocytes and maturing spermatozoa","10.1016.j.taap.2009.05.008",0.8635,-0.5301,2,8,8,27,0.4006,2009,27,0.4006
"179","ontogeny-driven rdna rearrangement, methylation, and transcription, and paternal influence","10.1371.journal.pone.0022266",2011,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Chemical substance","injectionf of Cr(III) or acidic saline two weeks prior to mating","correlative assessment","no",NA,"adults","gene expression",NA,NA,NA,"gene expression","gene expression in lung, liver and sperm","no",NA,"yes","no","no",NA,"10.1371.journal.pone.0022266",314,"shiao y.-h. (2011)","ontogeny-driven rdna rearrangement, methylation, and transcription, and paternal influence","10.1371.journal.pone.0022266",-0.0659,0.5496,3,24,10,11,0.3427,2011,11,0.3427
"180","paternal benzo[a]pyrene exposure modulates microrna expression patterns in the developing mouse embryo","10.1155.2012.407431",2012,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","Benzo[a]pyrene injection prior to sperm collection","does not assess","yes – maternal effects","in-vitro fertilization, other","embryos","gene expression",NA,NA,NA,NA,"in-vitro study of embryos: gene expression","no",NA,"no","no","no",NA,"10.1155.2012.407431",297,"brevik a. (2012)","paternal benzo[a]pyrene exposure modulates microrna expression patterns in the developing mouse embryo","10.1155.2012.407431",0.0988,-0.3285,2,67,14,19,0.5,2012,19,0.5
"181","paternal bisphenol a diet changes prefrontal cortex proteome and provokes behavioral dysfunction in male offspring","10.1016.j.chemosphere.2017.06.050",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","bisphenol a diet for 10 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, morphology, behavior","brain morphology, gene expression, behavior (open field test, elevated zero maze, social behawior)","no",NA,"one sex measured only","no","no",NA,"10.1016.j.chemosphere.2017.06.050",133,"luo g. (2017)","paternal bisphenol a diet changes prefrontal cortex proteome and provokes behavioral dysfunction in male offspring","10.1016.j.chemosphere.2017.06.050",-0.4382,-0.5052,1,154,22,4,0.5714,2017,4,0.5714
"182","paternal bpa exposure in early life alters igf2 epigenetic status in sperm and induces pancreatic impairment in rat offspring","10.1016.j.toxlet.2015.08.009",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","in utero, as juvenile","Chemical substance","bisphenol A (BPA) exposure during gastation and suclking","correlative assessment","no",NA,"adults",NA,NA,NA,"physiology","gene expression, physiology","fasting and fed blood glucose and insulin tests, pancreas function, methylation of Igf2 in islets","no",NA,"yes","no","no",NA,"10.1016.j.toxlet.2015.08.009",189,"mao z. (2015)","paternal bpa exposure in early life alters igf2 epigenetic status in sperm and induces pancreatic impairment in rat offspring","10.1016.j.toxlet.2015.08.009",-0.0379,-0.1238,1,167,20,23,0.8238,2015,23,0.8238
"183","paternal developmental toxicant exposure is associated with epigenetic modulation of sperm and placental pgr and igf2 in a mouse model","10.1093.biolre.ioy111",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","in utero","Chemical substance","endocrine disruptor 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology","placental dysfunction, epigenetic microarray analysis of placentas in F1 and F3","phenotype","adults","one sex measured only","no","no",NA,"10.1093.biolre.ioy111",28,"ding t. (2018)","paternal developmental toxicant exposure is associated with epigenetic modulation of sperm and placental pgr and igf2 in a mouse model","10.1093.biolre.ioy111",-0.1075,0.1748,1,61,19,0,0,2018,0,0
"184","paternal effects from methamidophos administration in mice","10.1006.taap.2000.8933",2000,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","insecticide: methamidophos","correlative assessment","no",NA,"embryos","morphology",NA,NA,NA,NA,"Mean cell number per embryo of preimplantation embryos after 48 h of culture, mean number of normal embryos","no",NA,"no","no","no",NA,"10.1006.taap.2000.8933",394,"burruel v.r. (2000)","paternal effects from methamidophos administration in mice","10.1006.taap.2000.8933",0.8728,-0.4024,2,14,5,24,0.2837,2000,24,0.2837
"185","paternal exposure to environmental 17-alpha-ethinylestradiolconcentrations modifies testicular transcription, affecting the spermtranscript content and the offspring performance in zebrafish","10.1016.j.aquatox.2017.09.025",2017,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","control + three concentrations of estrogen 17-α-ethinylestradiol (EE2) in water","correlative assessment","no","natural external fertilization","just born / hatched","gene expression, morphology, survival","behavior",NA,NA,NA,"survival, hatching and malformation percentages, otolith, swim bladder, cartilage development, gene expressionin the embryos, swimming activity in newly hatched embryos","no",NA,"no","no","no",NA,"10.1016.j.aquatox.2017.09.025",129,"valcarce d.g. (2017)","paternal exposure to environmental 17-alpha-ethinylestradiol concentrations modifies testicular transcription, affecting the sperm transcript content and the offspring performance in zebrafish","10.1016.j.aquatox.2017.09.025",-0.1428,-0.1903,1,50,21,6,0.8571,2017,6,0.8571
"186","paternal exposure to low-dose lead acetate: effect on implantation rate, pregnancy outcome, and sex ratio in mice","10.3906.sag.1412.62",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","lead acetate (two does) water: 16 weeks","does not assess","no",NA,"just born / hatched","survival","morphology, other",NA,NA,NA,"implantation rate, birh weight, sex ratio","no",NA,"yes","no","no",NA,"10.3906.sag.1412.62",184,"al-juboori b. (2016)","paternal exposure to low-dose lead acetate: effect on implantation rate, pregnancy outcome, and sex ratio in mice","10.3906.sag.1412.62",1.1356,-0.0638,2,13,11,0,0,2016,0,0
"187","paternal exposure to mercury and spontaneous abortions","..",1991,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","mercury vapour occupational exposure (confirmed by blood levels)","does not assess","no",NA,"just born / hatched","survival",NA,NA,NA,NA,"rate of spontaneus abortions","no",NA,"no","no","no",NA,"paternal exposure to mercury and spontaneous abortions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","paternal fenvalerate exposure influences reproductive functions in the offspring","10.1177.1933719113483015",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","insecticide: 3-phenoxybenzyl 2-(4-chlorophenyl) (fenvalerate) for 30 days","correlative assessment","no",NA,"adults","morphology, other",NA,NA,NA,"physiology, morphology, fecundity","birth weidht, sex ratio, adult male body weight, testis weight, sperm mobility and abnormalites, adult females: reproductive organs, time of first","no",NA,"yes","no","no",NA,"10.1177.1933719113483015",259,"xia d. (2013)","paternal fenvalerate exposure influences reproductive functions in the offspring","10.1177.1933719113483015",0.3304,0.0063,2,81,12,7,0.1433,2013,7,0.1433
"189","paternal occupational exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin and birth outcomes of offspring: birth weight, preterm delivery, and birth defects","10.1289.ehp.7051",2004,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","occupational exposure to Agent Orange, a phenoxy herbicide contaminated with 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)","does not assess","no",NA,"just born / hatched","physiology","morphology",NA,NA,NA,"birth weight, preterm delivery, and birth defects","no",NA,"no","no","no",NA,"10.1289.ehp.7051",369,"lawson c.c. (2004)","paternal occupational exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin and birth outcomes of offspring: birth weight, preterm delivery, and birth defects","10.1289.ehp.7051",1.0158,-0.429,2,11,18,28,0.9299,2004,28,0.9299
"190","paternal use of azathioprine/6-mercaptopurine or methotrexate within 3 months before conception and long-term health outcomes in the offspring—a nationwide cohort study","10.1016.j.reprotox.2017.08.013",2017,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","azathioprine (AZA)/6-mercaptopurine (6-MP) or methotrexate (MTX)","does not assess","no",NA,"juveniles",NA,"morphology",NA,"morphology, behavior, other",NA,"malignancies, autism spectrum disorders (ASD)/schizophrenia/psychosis, and attention deficit hyperactivity disorder (ADHD), sex, birth weight","no",NA,"no","no","no",NA,"10.1016.j.reprotox.2017.08.013",99,"friedman s. (2017)","paternal use of azathioprine/6-mercaptopurine or methotrexate within 3 months before conception and long-term health outcomes in the offspring—a nationwide cohort study","10.1016.j.reprotox.2017.08.013",0.3405,-0.0108,2,42,12,3,0.4286,2017,3,0.4286
"191","pesticide exposure in male farmers and survival of in vitro fertilized pregnancies","10.1093.humrep.deh203",2004,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","men who personally sprayed pesticides or growth retardants compared to control","does not assess","unclear","in-vitro fertilization","just born / hatched","survival","survival",NA,NA,NA,"survival of fetus, pregnancy outcome","no",NA,"no","no","no",NA,"10.1093.humrep.deh203",375,"hjollund n.h. (2004)","pesticide exposure in male farmers and survival of in vitro fertilized pregnancies","10.1093.humrep.deh203",0.7544,0.6116,2,20,14,15,0.4982,2004,15,0.4982
"192","preconception paternal bisphenol a exposure induces sex-specific anxiety and depression behaviors in adult rats","10.1371.journal.pone.0192434",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","50 μg/kg/day bisphenol A BPA diet for 21 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, behavior, other","body weight, sex ratio, brhavioral tests: open field, forced swimming, elevated-plus maze) , corticisteroen levels","no",NA,"yes","no","no",NA,"10.1371.journal.pone.0192434",74,"fan y. (2018)","preconception paternal bisphenol a exposure induces sex-specific anxiety and depression behaviors in adult rats","10.1371.journal.pone.0192434",0.0732,-0.9285,1,15,16,5,1.283,2018,5,1.283
"193","reduced embryonic survival in rainbow trout resulting from paternal exposure to the environmental estrogen 17α-ethynylestradiol during late sexual maturation","10.1530.rep.07.0169",2007,"fish","Oncorhynchus mykiss","polygamy – promiscuity","without mate choice","captive","as juvenile","Chemical substance","17a-ethynylestradiol (EE2)","does not assess","yes – maternal effects","in-vitro fertilization","embryos","survival",NA,NA,NA,NA,"embryonic survival asessed at 4 developmental time points","no",NA,"no","no","no",NA,"10.1530.rep.07.0169",351,"brown k.h. (2007)","reduced embryonic survival in rainbow trout resulting from paternal exposure to the environmental estrogen 17α-ethynylestradiol during late sexual maturation","10.1530.rep.07.0169",0.0185,0.4222,1,55,8,30,1.2097,2007,30,1.2097
"194","reproductive toxicity of exemestane, an antitumoral aromatase inactivator, in rats and rabbits","10.1016.s0890.6238(01)00120.4",2001,"non-human mammal","Rattus norvegicus; Oryctolagus cuniculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","Exemestane","does not assess","no",NA,"juveniles",NA,"morphology, survival",NA,"morphology, survival",NA,"survival, weight","no",NA,"no","no","no",NA,"10.1016.s0890.6238(01)00120.4",389,"beltrame d. (2001)","reproductive toxicity of exemestane, an antitumoral aromatase inactivator, in rats and rabbits","10.1016.s0890.6238(01)00120.4",1.5008,0.9187,2,6,2,12,0.2658,2001,12,0.2658
"195","spontaneous abortion, sex ratio, and paternal occupational exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin","10.1289.ehp.011091127",2001,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","Agent Orange, a phenoxy herbicide, 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)","does not assess","no",NA,"just born / hatched","survival","other",NA,NA,NA,"spontaneus abortion rate, offspring sex ratio","no",NA,"no","no","no",NA,"10.1289.ehp.011091127",390,"schnorr t.m. (2001)","spontaneous abortion, sex ratio, and paternal occupational exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin","10.1289.ehp.011091127",1.2311,-0.2215,2,9,15,56,1.2405,2001,56,1.2405
"196","transgenerational inheritance of heart disorders caused by paternal bisphenol a exposure","10.1016.j.envpol.2015.08.016",2015,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","control + 2 different concentraions od bisphenol A (BPA) in the water","correlative assessment","no",NA,"adults","gene expression, morphology, survival",NA,NA,NA,"gene expression, fecundity","embryo mortality, malformations, heart morphologuy and funtion, embryo mortality and malformations in F2, expression of genes involved in cardiac embryo development and spermatozoal transcripts for these receptors in F0 and F1","phenotype & fitness (survival or fecundity)","just born-hatched","no","no","no",NA,"10.1016.j.envpol.2015.08.016",187,"lombó m. (2015)","transgenerational inheritance of heart disorders caused by paternal bisphenol a exposure","10.1016.j.envpol.2015.08.016",0.0705,-0.0715,1,63,26,33,1.182,2015,33,1.182
"197","lack of birth defects among offspring conceived during or after paternal exposure to dibromochloropropane (dbcp)","10.1111.j.1439.0272.1988.tb02374.x",1988,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance; Physiological factor","dibromochloropropane (DBCP) induced testicular dysfunction","does not assess","no",NA,"juveniles",NA,"morphology",NA,"morphology",NA,"congenital malformations and and developmental defects","no",NA,"no","no","no",NA,"10.1111.j.1439.0272.1988.tb02374.x",446,"potashnik g. (1988)","lack of birth defects among offspring conceived during or after paternal exposure to dibromochloropropane (dbcp)","10.1111.j.1439.0272.1988.tb02374.x",1.3488,0.0276,2,5,2,5,0.1812,1988,5,0.1812
"198","effects of paternal high-fat diet and rearing environment on maternal investment and development of defensive responses in the offspring","10.1016.j.psyneuen.2018.02.010",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet for 60 days prior to mating","does not assess","no","other","adults",NA,NA,NA,"morphology, behavior, survival","gene expression, physiology, morphology, behavior","jouvenile play, anxiety behaviour, acute stress resposne, pup survival. body and tissue weight, brain morphology, hypothalamic gene regulation","no",NA,"yes","no","no","assesment of pratner preferecnes and observations of maternal care","10.1016.j.psyneuen.2018.02.010",56,"korgan a.c. (2018)","effects of paternal high-fat diet and rearing environment on maternal investment and development of defensive responses in the offspring","10.1016.j.psyneuen.2018.02.010",-0.3517,-0.4911,1,175,31,3,0.7698,2018,3,0.7698
"199","maternal modulation of paternal effects on offspring development","10.1098.rspb.2018.0118",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","food restriction for 3 weeks","does not assess","yes – maternal effects","other","adults",NA,"morphology",NA,"morphology","gene expression, morphology, behavior","birth weight, later weight, cognitive and anxiety/depression-like behaviours, gene expression in the brain","no",NA,"yes","no","no","embryo transfer and assesment of female nursing bahavior","10.1098.rspb.2018.0118",68,"mashoodh r. (2018)","maternal modulation of paternal effects on offspring development","10.1098.rspb.2018.0118",-0.1642,-0.1584,1,192,38,8,2.0528,2018,8,2.0528
"200","sperm tsrnas contribute to intergenerational inheritance of an acquired metabolic disorder","10.1126.science.aad7977",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet (60% fat) or a normal diet (10% fat) for 6 months","other","yes – maternal effects","in-vitro fertilization, other","adults","gene expression",NA,NA,NA,"physiology","glucose tolerance and insulin resistance, embryonic gene expression","no",NA,"no","no","no","sperm heads of males were injected into normal mouse oocytes, and the embryos were transferred into surrogate mothers","10.1126.science.aad7977",176,"chen q. (2016)","sperm tsrnas contribute to intergenerational inheritance of an acquired metabolic disorder","10.1126.science.aad7977",-0.438,-0.4989,1,164,22,292,13.9198,2016,292,13.9198
"201","diet changes alter paternally inherited epigenetic pattern in male wild guinea pigs","10.1093.eep.dvy011",2018,"non-human mammal","Cavia aperea","polygamy – promiscuity","without mate choice","captive","as adult","Diet","Low protein diet for 62 days","does not assess","no",NA,"juveniles",NA,NA,NA,"gene expression, morphology",NA,"gene expression and methylation in liver and testes of male offpsring, body weight","no",NA,"one sex measured only","no","no","suboptimal experimental design","10.1093.eep.dvy011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","gene expression and epigenetic aberrations in f1-placentas fathered by obese males","10.1002.mrd.22784",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet leading to male obesity","correlative assessment","yes – maternal effects","cross-fostering","embryos","gene expression",NA,NA,NA,NA,"gene expression and DNA methylation in embryos","no",NA,"yes","no","no","transfer of balstocysts","10.1002.mrd.22784",123,"mitchell m. (2017)","gene expression and epigenetic aberrations in f1-placentas fathered by obese males","10.1002.mrd.22784",-0.0225,-0.0395,1,142,33.875,7,1,2017,7,1
"203","paternal diet programs offspring health through sperm- and seminal plasma-specific pathways in mice","10.1073.pnas.1806333115",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","low-protein diet for minumum 8 weeks prior to mating","other","yes – maternal effects","artificial insemination","adults",NA,"morphology",NA,"morphology","gene expression, physiology, morphology","body weight, glucose tolerance, fatty acids in liver, gene expression and micorbiome samples","no",NA,"yes","no","no","use of vasectomized males and artifical insemination and also global DNA methylation of sperm","10.1073.pnas.1806333115",27,"watkins a.j. (2018)","paternal diet programs offspring health through sperm- and seminal plasma-specific pathways in mice","10.1073.pnas.1806333115",-0.3667,-0.299,1,145,26,6,1.5396,2018,6,1.5396
"204","high-protein paternal diet confers an advantage to sons in sperm competition","10.1098.rsbl.2016.0914",2017,"arthropod","Drosophila melanogaster","polygamy – promiscuity","with mate choice","captive","as juvenile","Diet","high or low protein diet","correlative assessment","unclear",NA,"adults",NA,NA,NA,NA,"gene expression, fecundity","expression of genes invloved in immune response, metabolism and reproduction, sperm competition","no",NA,"one sex measured only","no","no",NA,"10.1098.rsbl.2016.0914",128,"zajitschek f. (2017)","high-protein paternal diet confers an advantage to sons in sperm competition","10.1098.rsbl.2016.0914",-0.6335,-0.1936,3,153,15,5,0.7143,2017,5,0.7143
"205","influence of male broiler breeder dietary energy intake on reproduction and progeny growth","10.3382.ps.0750767",1996,"bird","Gallus gallus domesticus","polygamy – promiscuity","without mate choice","domesticated","as juvenile, as adult","Diet","fed 370, 330, or 290 kcal per bird per day","correlative assessment","yes – maternal effects","artificial insemination","adults","survival","morphology",NA,"morphology","morphology","embryonic survival, offspring growth","no",NA,"yes","no","no",NA,"10.3382.ps.0750767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","transgenerational endotoxin tolerance-like effect caused by paternal dietary astragalus polysaccharides in broilers' jejunum","10.1016.j.ijbiomac.2018.01.095",2018,"bird","Gallus gallus domesticus","polygamy – promiscuity","unclear","domesticated","as juvenile, as adult","Diet","diet with 5 different levels of Astragalus polysaccharides (APS)","correlative assessment","yes – maternal effects","artificial insemination","adults",NA,NA,NA,"morphology","gene expression, morphology","growth, jejunal tissue morphology, gene methylation, endotoxin tolerance","no",NA,"no","no","no",NA,"10.1016.j.ijbiomac.2018.01.095",58,"li y. (2018)","transgenerational endotoxin tolerance-like effect caused by paternal dietary astragalus polysaccharides in broilers’ jejunum","10.1016.j.ijbiomac.2018.01.095",-0.5127,-0.0925,1,117,20.9,3,0.7698,2018,3,0.7698
"207","chronic high-fat diet in fathers programs b-cel dysfunction in female rat offspring","10.1038.nature09491",2010,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet form 4 weeks old to 13 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology","bodyweight, specific growth rate, glucose tolerance, insulin tolerance, post mortem, pancreas histology, enegry intake, DNA metylation","no",NA,"one sex measured only","no","no",NA,"10.1038.nature09491",326,"ng s.-f. (2010)","chronic high-fat diet in fathers programs β 2-cell dysfunction in female rat offspring","10.1038.nature09491",-0.2617,-0.6589,1,57,21,766,8.3945,2010,766,8.3945
"208","effect of high fat diet on paternal sperm histone distribution and male offspring liver gene expression","10.1080.15592294.2015.1075691",2015,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet for 10 -12 weeks proir to mating","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression","liver gene expression in male offspring","no",NA,"no","no","no",NA,"10.1080.15592294.2015.1075691",207,"terashima m. (2015)","effect of high fat diet on paternal sperm histone distribution and male offspring liver gene expression","10.1080.15592294.2015.1075691",-0.2667,-0.4603,1,190,32,35,1.2536,2015,35,1.2536
